source,type,target,confidence,evidence
climate-smart agriculture,produces,greenhouse gas emission reduction,extracted,practices simultaneously build climate resilience and reduce emissions
CGIAR,uses,impact pathway assessment,extracted,CGIAR researchers assessed using an impact pathway-based approach
climate finance,targets,Togo,extracted,unlocking US$300 million in climate finance for Togo's agricultural sector
World Bank,provides,climate finance,inferred,meet the rigorous technical requirements of the World Bank
capacity development,targets,smallholder farmers,extracted,training activities to strengthen knowledge of banana producers
drought stress management,targets,banana,extracted,training on drought stress management in banana production
training of trainers,part_of,capacity development,extracted,training of trainer approach in course of implementation
soybean,located_in,Zambia,extracted,increase agricultural productivity on Soybean in Zambia
soybean,located_in,Uganda,extracted,increase agricultural productivity on Soybean in Uganda
alternate wetting and drying,produces,greenhouse gas emission reduction,extracted,quantify potential reduction in GHG emissions through AWD
alternate wetting and drying,targets,rice,extracted,GHG emissions under puddled transplanted rice through AWD
ICAR,collaborates_with,IRRI,extracted,Integrated Capacity Development Under the ICAR–IRRI Workplan
direct-seeded rice,produces,water-use efficiency,extracted,mechanized DSR scaling and water savings through direct-seeded rice
crop diversification,uses,pearl millet,extracted,Diversification of millets cultivation including pearl millet
crop diversification,uses,sorghum,extracted,Diversification of millets cultivation including sorghum
crop diversification,located_in,Odisha,extracted,"millet areas across Keonjhar, Koraput districts in Odisha"
Sentinel-2,uses,remote sensing,extracted,Sentinel-2 time-series data for identifying suitable millet areas
seed production systems,targets,groundnut,extracted,farmers engaged in certified groundnut seed production
training of trainers,located_in,Colombia,extracted,CIAT-owned Training of Trainers model in Colombia
soil health management,part_of,climate-smart agriculture,inferred,practices such as soil health management build climate resilience
ICARDA,located_in,Pakistan,extracted,workshop arranged by ICARDA in district Sahiwal of Punjab
digital agriculture,uses,remote sensing,extracted,combines remote sensing (satellite and drones) with in-field sensors
Climate Resilience Platform,addresses,climate change adaptation,extracted,tool to help bring climate change adaptation to the forefront
direct-seeded rice,produces,water-use efficiency,extracted,water savings and improved water productivity in dry direct-seeded rice
precision agriculture,uses,digital agriculture,inferred,fertilizer recommendation tool and water management targeting tool
XAM XAM SUUF,located_in,Senegal,extracted,fertilizer tool validated on-site in Senegal
pigeonpea,part_of,crop diversification,extracted,improved varieties of dryland crops including pigeonpea
rice-fallow intensification,uses,pulse crops,extracted,short-duration pulse varieties for rice-fallow systems
participatory evaluation,targets,smallholder farmers,extracted,participatory evaluation of improved pulse varieties
ISARC,part_of,IRRI,inferred,student exchanges with IRRI HQ
FarmLog,uses,digital agriculture,extracted,digital platform for reporting and verifying adoption
direct seeded rice,uses,mechanized agriculture,extracted,mechanized direct-seeded rice (DSR)
agroclimatic monitoring,located_in,Colombia,extracted,national agroclimatic monitoring network
seasonal rainfall forecasting,uses,AClimate,extracted,operationalized through a national existing digital climate service (AClimate)
multi-stress phenotyping,targets,rice,extracted,screen rice germplasm for climate resilience
climate-smart agriculture,targets,smallholder farmers,extracted,delivered by extension workers to smallholder farmers
extension workers,uses,good agricultural practices,extracted,training on Good Agricultural Practices delivered by extension workers
post-entry quarantine,targets,banana,extracted,drought-tolerant banana germplasm
sustainable cattle ranching,uses,rotational grazing,extracted,combines planned rotational grazing
integrated water resources management,uses,micro-drip irrigation,extracted,"micro-drip irrigation, water harvesting basins"
varietal demonstrations,targets,self-help groups,extracted,women self-help groups participated in varietal demonstrations
greenhouse gas emissions measurement,targets,coffee,extracted,applied in pilot plots across multiple crop and livestock systems
capacity building,targets,smallholder farmers,extracted,benefited ~2 million farmers
IPCC,uses,climate adaptation indicators,extracted,CGIAR scientists have been instrumental in informing the process of developing GGA indicators
World Bank,located_in,Ethiopia,extracted,World Bank–financed initiative implemented by the Government of Ethiopia
pulse crops,located_in,Odisha,extracted,pulse varieties for rice-fallow systems in Odisha
cassava,located_in,Nigeria,extracted,increase agricultural productivity on Cassava
millet,located_in,Bihar,extracted,millet-focused interventions were carried out across seven districts of South Bihar
direct-seeded rice,addresses,water scarcity,extracted,"significant savings in water, labour, and time"
herbicide tolerance,addresses,weed control efficiency,extracted,promising solution lies in cultivating herbicide-tolerant rice varieties
Pusa Basmati 1979,uses,imazethapyr,extracted,non-transgenic imazethapyr-tolerant rice varieties
stewardship guidelines,targets,herbicide tolerance,extracted,ensure the long-term sustainability of HT rice technology
IRRI-SARC,located_in,India,extracted,"organized at IRRI-SARC, Varanasi"
AVENIR project,targets,smallholder farmers,extracted,"reaching 11,500 beneficiaries, 70% women and youth"
AVENIR project,located_in,Senegal,extracted,smallholder farmers in Senegal's Sedhiou and Tambacounda regions
climate-smart agriculture,part_of,AVENIR project,extracted,"integrated approach combining climate-smart agriculture, economic empowerment"
adaptation finance,addresses,climate resilience,extracted,international public adaptation finance flows to developing countries
nationally determined contributions,uses,UAE-Belém Framework,extracted,set measurable targets aligned with the UAE Framework
precision seeding,produces,weed control efficiency,inferred,25% reduction in operational costs and 7.7% increase in crop yield
unmanned aerial vehicle application,addresses,weed control efficiency,extracted,UAV application of herbicides is an effective weed control measure
Tamil Nadu Agricultural University,located_in,India,extracted,"conducted at Tamil Nadu Agricultural University, Coimbatore, India"
variety demonstration,targets,smallholder farmers,extracted,"83,342 farmers have been reached"
EIAR,located_in,Ethiopia,extracted,Ethiopian Institute of Agricultural Research bean program
multi-location trials,uses,striga resistance,extracted,assess crop varieties' resistance to Striga parasitic weed
striga,is_a,parasitic weed,extracted,Striga parasitic weed
demand-led breeding,produces,variety registration,inferred,support product prioritization of released varieties
CIP,produces,potato,extracted,potato variety derived from CIP germplasm
Tongil rice,targets,Africa,extracted,adapted to local climatic conditions in Africa
